medium;brand;date;time;operator;channel;campaign_name;position_in_break;indexed_gross_rating_point;spotlength;program_before;program_after;program_cat_before;program_cat_after;commercialdescript;flight_description;flight_startdate;flight_enddate;product_type;;pt_tag_on_1;pt_tag_on_2
TV;NL;11/11/2023;8:38:00 PM;Ster;NPO2;TV-NL-laptops-2023-45;Before Last Position;14.71670587;15 + 10;blauw bloed;sterren op het doek;overige non fictie;overige non fictie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;10:44:00 PM;Ster;NPO2;TV-NL-laptops-2023-45;Second Position;8.596985777;15 + 10;stand van nederland generatie next;handelser vid vatten;non fictie;buitenlandse fictie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;9:19:00 PM;Ster;NPO1;TV-NL-laptops-2023-45;First Position;38.42685674;15 + 10;connection;even tot hier;amusement;cabaret & satire;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;10:50:00 PM;Ster;NPO3;TV-NL-laptops-2023-45;Second Position;2.518176267;15 + 10;dna;nacht van de popmuziek;nederlandse fictie;populaire muziek & dans;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;11:05:00 PM;Ster;NPO1;TV-NL-laptops-2023-45;Second Position;27.88775904;15 + 10;studio sport eredivisie;studio sport;sportinformatie;sportinformatie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;7:54:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;17.53119106;15 + 10;knoop en de leeuw;journaal 20 uur;non fictie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;12:00:00 AM;Ster;NPO3;TV-NL-laptops-2023-49;Any Other Position;0.8139885947;15 + 10;podium zwart;met mes;non fictie;nederlands drama;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/8/2023;6:29:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Any Other Position;6.674670118;15 + 10;journaal regio;regioned;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/8/2023;7:21:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Second Position;4.360221669;15 + 10;jeugdjournaal avond;schaatsen wb;kinderen (t/m + 12 jaar);sportreportage;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;7:51:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;30.57359508;15 + 10;khalid en sophie;journaal 20 uur;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;11:44:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Second Position;1.477542619;15 + 10;2doc kort;kruispunt;non fictie;overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;6:45:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;35.61731794;15 + 10;eenvandaag;sportjournaal;nieuws & actualiteiten;sportinformatie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/10/2023;7:40:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Before Last Position;2.963733342;15 + 10;mensenbieb;3 op reis;kinderen (t/m + 12 jaar);overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;7:09:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Before Last Position;16.02061995;15 + 10;noord zuid oost west;binnenstebuiten;non fictie;non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/6/2023;6:58:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;40.33682222;15 + 10;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
